Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
UBC	"Polyubiquitin-C [Cleaved into: Ubiquitin]"	-	7316		
UBE2B	"Ubiquitin-conjugating enzyme E2 B "	"UBC2 HHR6B RAD6B"	7320	22210	
UBE2D1	"Ubiquitin-conjugating enzyme E2 D1 "	"UbcH5A UBCH5 UBC4/5 E2(17)KB1"	7321		
UBE2D2	"Ubiquitin-conjugating enzyme E2 D2 "	"UbcH5B UBC4"	7322		
UBE2D3	"Ubiquitin-conjugating enzyme E2 D3 "	UbcH5C	7323		
Ube2i	"SUMO-conjugating enzyme UBC9 "	-		22196	25573
UBE2I	"SUMO-conjugating enzyme UBC9 "	UBC9	7329		
UBE2K	"Ubiquitin-conjugating enzyme E2 K "	"HYPG UBC1"	3093		
UBE2L3	"Ubiquitin-conjugating enzyme E2 L3 "	UBCH7	7332	22195	363836
UBE2N	"Ubiquitin-conjugating enzyme E2 N "	"UbcH-ben UBC13 MGC8489"	7334	93765	116725
UBE2O		E2-230K	63893		
UBE2V1	"Ubiquitin-conjugating enzyme E2 variant 1 "	"UEV-1 CROC-1 UEV1A CROC1"	7335		
UBE3A	"Ubiquitin-protein ligase E3A "	"AS ANCR E6-AP FLJ26981"	7337	22215	361585
UBP1	"Upstream-binding protein 1 "	LBP-1a	7342	22221	301038
UBR2	"E3 ubiquitin-protein ligase UBR2 "	"bA49A4.1 dJ392M17.3 KIAA0349"	23304	224826	363188
UBR4	"E3 ubiquitin-protein ligase UBR4 "	"KIAA1307 KIAA0462 RBAF600 p600"	23352		
UBTF	"Nucleolar transcription factor 1 "	"UBF NOR-90 UBF1 UBF2"	7343	21429	25574
UBTFL1	"Upstream-binding factor 1-like protein 1"	-	642623	546118	
UBTFL6	"Putative upstream-binding factor 1-like protein 6"	-	643615		
UCHL5	"Ubiquitin carboxyl-terminal hydrolase isozyme L5 "	"UCH37 CGI-70 INO80R"	51377	56207	
UFL1	"E3 UFM1-protein ligase 1 "	"NLBP Maxer RCAD"	23376	67490	313115
UHRF1	"E3 ubiquitin-protein ligase UHRF1 "	"ICBP90 Np95 FLJ21925 RNF106 TDRD22"	29128	18140	316129
UIMC1	"BRCA1-A complex subunit RAP80 "	RAP80	51720	20184	290997
UNCX	"Homeobox protein unc-4 homolog "	Uncx4.1	340260	22255	29375
UNK	"RING finger protein unkempt homolog "	KIAA1753	85451	217331	
UNKL	"Putative E3 ubiquitin-protein ligase UNKL "	"ZC3HDC5L ZC3H5L FLJ23360"	64718	74154	
URI1	"Unconventional prefoldin RPB5 interactor 1 "	"RMP NNX3 FLJ10575 URI PPP1R19"	8725	19777	308537
USE1	"Vesicle transport protein USE1 "	"p31 SLT1 MDS032 D12"	55850		
USF1	"Upstream stimulatory factor 1 "	"UEF MLTFI bHLHb11"	7391	22278	83586
USF2	"Upstream stimulatory factor 2 "	"FIP bHLHb12"	7392	22282	81817
USF3	"Basic helix-loop-helix domain-containing protein USF3 "	-	205717	207806	303946
USP15	"Ubiquitin carboxyl-terminal hydrolase 15 "	"KIAA0529 UNPH4"	9958		
USP16	"Ubiquitin carboxyl-terminal hydrolase 16 "	Ubp-M	10600	74112	288306
USP2	"Ubiquitin carboxyl-terminal hydrolase 2 "	UBP41	9099	53376	115771
USP21	"Ubiquitin carboxyl-terminal hydrolase 21 "	USP16	27005	30941	688466
USP22	"Ubiquitin carboxyl-terminal hydrolase 22 "	KIAA1063	23326	216825	303201
USP34	"Ubiquitin carboxyl-terminal hydrolase 34 "	"KIAA0570 KIAA0729"	9736		
USP39	"U4/U6.U5 tri-snRNP-associated protein 2 "	"SAD1 CGI-21 SNRNP65"	10713		
USP47	"Ubiquitin carboxyl-terminal hydrolase 47 "	-	55031	74996	308896
USP7	"Ubiquitin carboxyl-terminal hydrolase 7 "	-	7874	252870	360471
UTF1	"Undifferentiated embryonic cell transcription factor 1"	-	8433	22286	681901
UTP4	"U3 small nucleolar RNA-associated protein 4 homolog "	"NAIC FLJ14728 KIAA1988 TEX292 CIRHIN"	84916	21771	291987
UTY	"Histone demethylase UTY "	"KDM6AL KDM6C"	7404	22289	103689969
UXT	"Protein UXT "	"ART-27 STAP1"	8409	22294	299313
VAX1	"Ventral anterior homeobox 1"	-	11023	22326	64571
VAX2	"Ventral anterior homeobox 2"	DRES93	25806	24113	64572
VDR	"Vitamin D3 receptor "	"NR1I1 PPP1R163"	7421	22337	24873
VEGFA	"Vascular endothelial growth factor A "	"VEGF-A VPF"	7422	22339	83785
VENTX	"Homeobox protein VENTX "	HPX42B	27287		
VEZF1	"Vascular endothelial zinc finger 1 "	DB1	7716	22344	287615
VGLL1	"Transcription cofactor vestigial-like protein 1 "	"TONDU TDU"	51442	170828	
VGLL2	"Transcription cofactor vestigial-like protein 2 "	-	245806	215031	309772
VGLL3	"Transcription cofactor vestigial-like protein 3 "	VGL-3	389136	73569	498038
VGLL4	"Transcription cofactor vestigial-like protein 4 "	KIAA0121	9686	232334	297523
Vhl	"von Hippel-Lindau disease tumor suppressor "	-		22346	24874
VHL	"von Hippel-Lindau disease tumor suppressor "	VHL1	7428		
VPS25	"Vacuolar protein-sorting-associated protein 25 "	"MGC10540 EAP20 DERP9"	84313		
VPS36	"Vacuolar protein-sorting-associated protein 36 "	"CGI-145 Eap45"	51028		
VPS72	"Vacuolar protein sorting-associated protein 72 homolog "	"YL-1 YL1 Swc2"	6944	21427	310661
VSX1	"Visual system homeobox 1 "	"PPD PPCD1"	30813	114889	689704
VSX2	"Visual system homeobox 2 "	RET1	338917	12677	171360
WAC	"WW domain-containing adapter protein with coiled-coil"	"Wwp4 FLJ31290 PRO1741 BM-016 MGC10753"	51322	225131	307029
WASL	"Actin nucleation-promoting factor WASL "	"N-WASP NWASP WASPB"	8976	73178	682507
WBP2	"WW domain-binding protein 2 "	"WBP-2 GRAMD6"	23558	22378	192645
WBP2NL	"Postacrosomal sheath WW domain-binding protein "	"FLJ26145 MGC26816 PAWP GRAMD7"	164684	74716	688642
WDHD1	"WD repeat and HMG-box DNA-binding protein 1 "	"AND-1 CTF4 CHTF4"	11169	218973	305827
WDR5	"WD repeat-containing protein 5 "	"SWD3 CFAP89"	11091	140858	362093
WDR61	"WD repeat-containing protein 61 "	"REC14 SKI8"	80349	66317	363064
WDR75	"WD repeat-containing protein 75 "	"FLJ12519 NET16 UTP17"	84128	73674	314545
WDR77	"Methylosome protein 50 "	"MEP50 p44"	79084	70465	100911453
WDTC1	"WD and tetratricopeptide repeats protein 1"	"KIAA1037 ADP DCAF9"	23038	230796	313020
WIZ	"Protein Wiz "	ZNF803	58525	22404	314598
WNT3A	"Protein Wnt-3a"	-	89780	22416	303181
WNT4	"Protein Wnt-4"	WNT-4	54361	22417	84426
WNT8B	"Protein Wnt-8b"	-	7479		
WT1	"Wilms tumor protein "	"WAGR WIT-2 AWT1 NPHS4 WT-1"	7490	22431	24883
Wtip	"Wilms tumor protein 1-interacting protein "	-		101543	
WTIP	"Wilms tumor protein 1-interacting protein "	-	126374		
WWC1	"Protein KIBRA "	"KIBRA KIAA0869 PPP1R168"	23286	211652	303039
WWOX	"WW domain-containing oxidoreductase "	"FOR WOX1 SDR41C1"	51741	80707	
WWP1	"NEDD4-like E3 ubiquitin-protein ligase WWP1 "	"AIP5 DKFZP434D2111"	11059	107568	297930
WWP2	"NEDD4-like E3 ubiquitin-protein ligase WWP2 "	AIP2	11060	66894	291999
WWTR1	"WW domain-containing transcription regulator protein 1 "	"TAZ DKFZp586I1419"	25937	97064	295062
XBP1	"X-box-binding protein 1 "	-	7494	22433	289754
XIAP	"E3 ubiquitin-protein ligase XIAP "	"hILP ILP-1"	331	11798	63879
XPA	"DNA repair protein complementing XP-A cells "	"XPAC XP1"	7507	22590	298074
XPC	"DNA repair protein complementing XP-C cells "	"XPCC RAD4"	7508	22591	312560
XPO1	"Exportin-1 "	"CRM1 CRM-1 emb"	7514	103573	85252
XRCC6	"X-ray repair cross-complementing protein 6 "	"D22S731 D22S671 KU70 ML8"	2547	14375	25019
XRN2	"5'-3' exoribonuclease 2 "	-	22803	24128	362229
YAF2	"YY1-associated factor 2"	-	10138	67057	690262
YAP1	"Transcriptional coactivator YAP1 "	"YAP65 YAP-1"	10413	22601	363014
YBX1	"Y-box-binding protein 1 "	"YB-1 YB1 DBPB NSEP-1 MDR-NF1 BP-8 CSDB CSDA2"	4904	22608	500538
YBX2	"Y-box-binding protein 2 "	"MSY2 CSDA3 Contrin"	51087	53422	303250
YBX3	"Y-box-binding protein 3 "	"dbpA ZONAB CSDA1"	8531	56449	83807
YEATS2	"YEATS domain-containing protein 2"	"FLJ10201 FLJ12841 FLJ13308 KIAA1197"	55689	208146	498112
YEATS4	"YEATS domain-containing protein 4 "	"NuBI-1 GAS41 YAF9"	8089	64050	299810
YLPM1	"YLP motif-containing protein 1 "	"ZAP PPP1R169"	56252	56531	299199
YOD1	"Ubiquitin thioesterase OTU1 "	"DKFZp451J1719 OTUD2 DUBA8"	55432		
YWHAB	"14-3-3 protein beta/alpha "	-	7529	54401	56011
YY1	"Transcriptional repressor protein YY1 "	"NF-E1 DELTA UCRBP YIN-YANG-1 INO80S"	7528	100073351	103690827
YY1AP1	"YY1-associated protein 1 "	"YY1AP HCCA2 YAP"	55249		
YY2	"Transcription factor YY2 "	ZNF631	404281	100073351	103690827
ZAR1	"Zygote arrest protein 1 "	Z3CXXC6	326340		
ZBED1	"E3 SUMO-protein ligase ZBED1 "	"TRAMP KIAA0785 DREF hDREF"	9189		
ZBED2	"Zinc finger BED domain-containing protein 2"	MGC10796	79413	72114	361881
ZBED3	"Zinc finger BED domain-containing protein 3 "	MGC15435	84327	72114	361881
ZBED4	"Zinc finger BED domain-containing protein 4"	KIAA0637	9889	223773	315211
ZBED5	"Zinc finger BED domain-containing protein 5 "	Buster1	58486		
ZBED6	"Zinc finger BED domain-containing protein 6"	-	100381270	667118	
ZBED9	"SCAN domain-containing protein 3 "	"ZFP38-L KIAA1925 FLJ31087 Buster4 FAM200D"	114821		
ZBP1	"Z-DNA-binding protein 1 "	"dJ718J7.3 DLM1 DLM-1 DAI"	81030	58203	
ZBTB1	"Zinc finger and BTB domain-containing protein 1"	"KIAA0997 ZNF909"	22890	268564	314246
ZBTB10	"Zinc finger and BTB domain-containing protein 10 "	"RINZF FLJ12752"	65986	229055	80338
ZBTB11	"Zinc finger and BTB domain-containing protein 11"	"ZNF-U69274 ZNF913"	27107	271377	304010
ZBTB12	"Zinc finger and BTB domain-containing protein 12 "	"G10 NG35 D6S59E"	221527	193736	309613
ZBTB14	"Zinc finger and BTB domain-containing protein 14 "	ZNF478	7541	22666	282825
ZBTB16	"Zinc finger and BTB domain-containing protein 16 "	PLZF	7704	235320	353227
ZBTB17	"Zinc finger and BTB domain-containing protein 17 "	"MIZ1 pHZ-67"	7709	22642	313666
ZBTB18	"Zinc finger and BTB domain-containing protein 18 "	"C2H2-171 TAZ-1 RP58"	10472	30928	64619
ZBTB2	"Zinc finger and BTB domain-containing protein 2"	"KIAA1483 ZNF437 bA351K16.2"	57621	381990	308126
ZBTB20	"Zinc finger and BTB domain-containing protein 20 "	"ODA-8S DKFZp566F123 DPZF"	26137	56490	288105
ZBTB21	"Zinc finger and BTB domain-containing protein 21 "	KIAA1227	49854	114565	304056
ZBTB22	"Zinc finger and BTB domain-containing protein 22 "	"BING1 ZNF297A fruitless fru ZBTB22A"	9278	81630	309630
ZBTB24	"Zinc finger and BTB domain-containing protein 24 "	"KIAA0441 BIF1 PATZ2"	9841	268294	365590
ZBTB25	"Zinc finger and BTB domain-containing protein 25 "	KUP	7597	109929	314245
ZBTB26	"Zinc finger and BTB domain-containing protein 26 "	-	57684	320633	311910
ZBTB3	"Zinc finger and BTB domain-containing protein 3"	FLJ23392	79842	75291	499313
ZBTB32	"Zinc finger and BTB domain-containing protein 32 "	"TZFP FAZF FAXF Rog ZNF538"	27033	58206	688845
ZBTB33	"Transcriptional regulator Kaiso "	"ZNF-kaiso kaiso WUGSC:H_DJ525N14.1 KAISO ZNF348"	10009	56805	100910807
ZBTB34	"Zinc finger and BTB domain-containing protein 34"	"KIAA1993 MGC24652 ZNF918"	403341	241311	689174
ZBTB37	"Zinc finger and BTB domain-containing protein 37"	"MGC2629 ZNF908"	84614	240869	304918
ZBTB38	"Zinc finger and BTB domain-containing protein 38"	"FLJ35036 CIBZ ZNF921 PPP1R171"	253461	245007	315936
ZBTB39	"Zinc finger and BTB domain-containing protein 39"	"KIAA0352 ZNF922"	9880	320080	299510
ZBTB4	"Zinc finger and BTB domain-containing protein 4 "	"KIAA1538 KAISO-L1 ZNF903"	57659	75580	287441
ZBTB40	"Zinc finger and BTB domain-containing protein 40"	"KIAA0478 ZNF923"	9923	230848	362635
ZBTB41	"Zinc finger and BTB domain-containing protein 41"	"FRBZ1 FLJ36199 DKFZp686C06120 ZNF924"	360023	226470	289052
ZBTB42	"Zinc finger and BTB domain-containing protein 42"	ZNF925	100128927	382639	691556
ZBTB43	"Zinc finger and BTB domain-containing protein 43 "	"KIAA0414 ZNF-X FLJ22470 ZBTB22B"	23099	71834	311872
ZBTB44	"Zinc finger and BTB domain-containing protein 44 "	"HSPC063 ZNF851"	29068	235132	363035
ZBTB45	"Zinc finger and BTB domain-containing protein 45 "	FLJ14486	84878	232879	308366
ZBTB46	"Zinc finger and BTB domain-containing protein 46 "	"FLJ13502 RINZF BZEL"	140685	72147	311718
ZBTB47	"Zinc finger and BTB domain-containing protein 47 "	"KIAA1190 DKFZp434N0615"	92999	270210	316087
ZBTB48	"Telomere zinc finger-associated protein "	"ZNF855 TZAP"	3104	100090	362668
ZBTB49	"Zinc finger and BTB domain-containing protein 49 "	FLJ38559	166793	75079	305428
ZBTB5	"Zinc finger and BTB domain-containing protein 5"	KIAA0354	9925	230119	298084
ZBTB6	"Zinc finger and BTB domain-containing protein 6 "	ZID	10773	241322	366029
ZBTB7A	"Zinc finger and BTB domain-containing protein 7A "	"FBI-1 LRF DKFZp547O146 pokemon ZNF857A"	51341	16969	117107
ZBTB7B	"Zinc finger and BTB domain-containing protein 7B "	"ZBTB15 c-Krox hcKrox ZNF857B"	51043	22724	295248
ZBTB7C	"Zinc finger and BTB domain-containing protein 7C "	ZNF857C	201501	207259	679155
ZBTB8A	"Zinc finger and BTB domain-containing protein 8A "	"BOZF1 FLJ90065 ZNF916A"	653121	73680	313049
ZBTB8B	"Zinc finger and BTB domain-containing protein 8B"	"RP1-27O5.1 DKFZp547H154 ZNF916B"	728116	215627	500553
ZBTB9	"Zinc finger and BTB domain-containing protein 9"	"MGC23166 ZNF919"	221504	474156	294289
ZC3H10	"Zinc finger CCCH domain-containing protein 10"	FLJ14451	84872	103284	
ZC3H11A	"Zinc finger CCCH domain-containing protein 11A"	KIAA0663	9877	70579	
ZC3H12A	"Endoribonuclease ZC3H12A "	"FLJ23231 MCPIP1 Regnase-1"	80149	230738	313587
ZC3H12B	"Probable ribonuclease ZC3H12B "	MCPIP2	340554	547176	
ZC3H13	"Zinc finger CCCH domain-containing protein 13"	"DKFZp434D1812 Xio"	23091	67302	
ZC3H14	"Zinc finger CCCH domain-containing protein 14 "	"FLJ11806 UKp68 NY-REN-37"	79882	75553	
ZC3H15	"Zinc finger CCCH domain-containing protein 15 "	LEREPO4	55854	69082	
ZC3H18	"Zinc finger CCCH domain-containing protein 18 "	NHN1	124245	76014	
ZC3H3	"Zinc finger CCCH domain-containing protein 3 "	KIAA0150	23144	223642	
ZC3H4	"Zinc finger CCCH domain-containing protein 4"	KIAA1064	23211	330474	
ZC3H6	"Zinc finger CCCH domain-containing protein 6"	"FLJ41410 FLJ45877 KIAA2035"	376940	78751	
ZC3H7A	"Zinc finger CCCH domain-containing protein 7A"	"HSPC055 FLJ20318"	29066	106205	
ZC3H7B	"Zinc finger CCCH domain-containing protein 7B "	"RoXaN FLJ13787 DKFZp434K0920 KIAA1031"	23264	20286	
ZC3H8	"Zinc finger CCCH domain-containing protein 8"	Fliz1	84524	57432	311414
ZC3HAV1	"Zinc finger CCCH-type antiviral protein 1 "	"ZAP FLB6421 FLJ13288 MGC48898 ZC3HDC2 ZC3H2 PARP13 ARTD13"	56829		
ZCCHC12	"Zinc finger CCHC domain-containing protein 12 "	"FLJ16123 SIZN SIZN1 PNMA7A"	170261	72693	313436
ZCCHC18	"Zinc finger CCHC domain-containing protein 18"	"SIZN2 PNMA7B"	644353	72693	313436
ZDHHC1	"Palmitoyltransferase ZDHHC1 "	"HSU90653 ZNF377"	29800		
ZDHHC11	"Palmitoyltransferase ZDHHC11 "	"ZNF399 FLJ13153"	79844		
ZDHHC19	"Palmitoyltransferase ZDHHC19 "	MGC33345	131540	245308	288045
ZEB1	"Zinc finger E-box-binding homeobox 1 "	"BZP ZEB AREB6 NIL-2-A Zfhep Zfhx1a FECD6"	6935	21417	25705
ZEB2	"Zinc finger E-box-binding homeobox 2 "	"KIAA0569 SIP-1 SIP1"	9839	24136	311071
ZFAND3	"AN1-type zinc finger protein 3 "	FLJ13222	60685		
ZFAND5	"AN1-type zinc finger protein 5 "	ZFAND5A	7763		
ZFAND6	"AN1-type zinc finger protein 6 "	"ZFAND5B AWP1"	54469		
ZFAT	"Zinc finger protein ZFAT "	KIAA1485	57623	380993	362925
ZFHX2	"Zinc finger homeobox protein 2 "	"KIAA1762 KIAA1056 ZFH-5"	85446	239102	305888
ZFHX3	"Zinc finger homeobox protein 3 "	"ZNF927 FLJ26184"	463	80892	310250
ZFHX4	"Zinc finger homeobox protein 4 "	"ZFH4 FLJ20980"	79776	80892	310250
ZFP1	"Zinc finger protein 1 homolog "	"FLJ34243 ZNF475"	162239	22640	498952
Zfp11	"Zinc finger protein 11 "	-		22648	100363065
Zfp120	"Zinc finger protein 120 "	-		104348	102554315
ZFP14	"Zinc finger protein 14 homolog "	"KIAA1559 ZNF531"	57677	22693	499124
ZFP2	"Zinc finger protein ZFP2 "	"FLJ21628 ZNF751"	80108	22678	497897
ZFP28	"Zinc finger protein 28 homolog "	"KIAA1431 mkr5"	140612	22690	102548693
ZFP3	"Zinc finger protein 3 homolog "	"FLJ30726 ZNF752"	124961	193043	497944
ZFP30	"Zinc finger protein 30 homolog "	"ZNF745 KIAA0961"	22835	22693	499124
ZFP36	"mRNA decay activator protein ZFP36 "	"RNF162A TIS11 G0S24 TTP NUP475"	7538	22695	79426
ZFP36L1	"mRNA decay activator protein ZFP36L1 "	"RNF162B Berg36 ERF1 TIS11B cMG1"	677	12192	299347
ZFP36L2	"mRNA decay activator protein ZFP36L2 "	"ERF2 RNF162C TIS11D"	678	12193	298765
ZFP37	"Zinc finger protein 37 homolog "	ZNF906	7539	22696	115768
ZFP41	"Zinc finger protein 41 homolog "	"FLJ38705 FLJ00028 ZNF753"	286128	22701	100910508
ZFP42	"Zinc finger protein 42 homolog "	"REX1 ZNF754"	132625	22702	
Zfp54	"Zinc finger protein 54 "	-		22712	308232
Zfp563	-	-		240068	314584
ZFP57	"Zinc finger protein 57 homolog "	"ZNF698 bA145L22 bA145L22.2"	346171	22715	361783
Zfp58	"Zinc finger protein 58 "	-		238693	
ZFP62	"Zinc finger protein 62 homolog "	"FLJ34231 ZET ZNF755"	643836	22720	497894
ZFP64	"Zinc finger protein 64 "	"FLJ10734 dJ831D17.1 FLJ12628 dJ548G19.1"	55734	22722	311661
ZFP69	"Zinc finger protein 69 homolog "	"ZKSCAN23A FLJ16030 ZFP69A ZSCAN54A"	339559	381549	
ZFP69B	"Zinc finger protein 69 homolog B "	"ZKSCAN23B FLJ34293 ZSCAN54B"	65243	381549	
Zfp809	"Zinc finger protein 809"	-		235047	
ZFP82	"Zinc finger protein 82 homolog "	"MGC45380 KIAA1948"	284406	22693	499124
Zfp84	-	-		74352	308482
ZFP90	"Zinc finger protein 90 homolog "	"KIAA1954 NK10 ZNF756"	146198	22751	498945
ZFP91	"E3 ubiquitin-protein ligase ZFP91 "	"PZF ZNF757"	80829	109910	246282
ZFP92	"Zinc finger protein 92 homolog "	ZNF897	139735	22754	503487
Zfp955a	-	-		100043468	314600
ZFPL1	"Zinc finger protein-like 1 "	"D11S750 MCG4"	7542		
ZFPM1	"Zinc finger protein ZFPM1 "	"FOG1 FOG ZNF89A ZC2HC11A"	161882	22761	691504
ZFPM2	"Zinc finger protein ZFPM2 "	"FOG2 hFOG-2 ZNF89B ZC2HC11B"	23414	22762	
ZFR	"Zinc finger RNA-binding protein "	"ZFR1 SPG71"	51663		
ZFR2	"Zinc finger RNA-binding protein 2"	-	23217		
ZFTA	"Zinc finger translocation-associated protein "	MGC3032	65998		499309
ZFX	"Zinc finger X-chromosomal protein"	ZNF926	7543	22764	367832
ZFY	"Zinc finger Y-chromosomal protein"	ZNF911	7544	367832	22764
Zfy1	"Zinc finger Y-chromosomal protein 1"	-		22767	103694540
Zfy2	"Zinc finger Y-chromosomal protein 2"	-		22768	103694540
ZFYVE26	"Zinc finger FYVE domain-containing protein 26 "	KIAA0321	23503	211978	
ZGLP1	"GATA-type zinc finger protein 1 "	"GLP1 GLP-1 GATAD3"	100125288	100009600	100360291
ZGPAT	"Zinc finger CCCH-type with G patch domain-containing protein "	"dJ583P15.3 MGC44880 FLJ14972 ZC3HDC9 ZC3H9 GPATC6 GPATCH6 ZIP"	84619	229007	296478
ZHX1	"Zinc fingers and homeoboxes protein 1"	-	11244	22770	171159
ZHX2	"Zinc fingers and homeoboxes protein 2 "	KIAA0854	22882	387609	314988
ZHX3	"Zinc fingers and homeoboxes protein 3 "	KIAA0395	23051	320799	311604
ZIC1	"Zinc finger protein ZIC 1 "	"ZIC ZNF201"	7545	22773	367944
ZIC2	"Zinc finger protein ZIC 2 "	HPE5	7546	22773	367944
ZIC3	"Zinc finger protein ZIC 3 "	"HTX ZNF203"	7547	22773	367944
ZIC4	"Zinc finger protein ZIC 4 "	-	84107	22774	315882
ZIC5	"Zinc finger protein ZIC 5 "	-	85416	65100	361095
ZIK1	"Zinc finger protein interacting with ribonucleoprotein K "	ZNF762	284307	22775	100359821
Zim1	-	-		22776	308322
ZIM2	"Zinc finger imprinted 2 "	ZNF656	23619		
ZIM3	"Zinc finger imprinted 3 "	ZNF657	114026		
ZKSCAN1	"Zinc finger protein with KRAB and SCAN domains 1 "	"KOX18 PHZ-37 ZSCAN33"	7586	74570	498160
ZKSCAN2	"Zinc finger protein with KRAB and SCAN domains 2 "	"FLJ23199 ZSCAN34"	342357	210162	368120
ZKSCAN3	"Zinc finger protein with KRAB and SCAN domains 3 "	"Zfp47 ZF47 ZSCAN35"	80317	72739	306977
ZKSCAN4	"Zinc finger protein with KRAB and SCAN domains 4 "	"p373c6.1 P1P373C6 FLJ32136 ZSCAN36"	387032	72739	306977
ZKSCAN5	"Zinc finger protein with KRAB and SCAN domains 5 "	"ZNF914 ZSCAN37"	23660	22757	304275
ZKSCAN7	"Zinc finger protein with KRAB and SCAN domains 7 "	"FLJ12738 ZSCAN39"	55888	382118	363170
ZKSCAN8	"Zinc finger protein with KRAB and SCAN domains 8 "	"LD5-1 ZSCAN40"	7745	93681	306974
ZMAT1	"Zinc finger matrin-type protein 1"	KIAA1789	84460	215693	
ZMAT2	"Zinc finger matrin-type protein 2"	"FLJ31121 hSNU23 Snu23"	153527	66492	
ZMAT3	"Zinc finger matrin-type protein 3 "	"WIG1 MGC10613 FLJ12296 WIG-1 PAG608"	64393	22401	64394
ZMAT4	"Zinc finger matrin-type protein 4"	FLJ13842	79698	320158	
ZMAT5	"Zinc finger matrin-type protein 5 "	SNRNP20	55954	67178	
ZMIZ1	"Zinc finger MIZ domain-containing protein 1 "	"RP11-519K18.1 KIAA1224 FLJ13541 hZIMP10 Zimp10 MIZ"	57178	328365	361103
ZMIZ2	"Zinc finger MIZ domain-containing protein 2 "	"KIAA1886 hZIMP7 ZIMP7 DKFZp761I2123 NET27"	83637	52915	103693776
ZMYM2	"Zinc finger MYM-type protein 2 "	"RAMP FIM MYM"	7750	76007	305913
ZMYM3	"Zinc finger MYM-type protein 3 "	"ZNF198L2 DXS6673E KIAA0385 MYM"	9203	56364	317260
ZMYM4	"Zinc finger MYM-type protein 4 "	"KIAA0425 ZNF198L3 MYM"	9202	67785	313598
ZMYM5	"Zinc finger MYM-type protein 5 "	"ZNF198L1 MYM"	9205	219105	305911
ZMYM6	"Zinc finger MYM-type protein 6 "	"ZNF198L4 MYM Buster2 ZBED7 KIAA1353"	9204	100177	362602
ZMYND11	"Zinc finger MYND domain-containing protein 11 "	"BS69 BRAM1"	10771	66505	291259
ZMYND8	"Protein kinase C-binding protein 1 "	"RACK7 KIAA1125"	23613	228880	296374
ZNF10	"Zinc finger protein 10 "	KOX1	7556		
ZNF100	"Zinc finger protein 100"	-	163227		
ZNF101	"Zinc finger protein 101 "	"HZF12 DKFZp570I0164"	94039		
ZNF106	"Zinc finger protein 106 "	"ZNF474 SH3BP3"	64397	20402	
ZNF107	"Zinc finger protein 107 "	"ZFD25 smap-7"	51427	431706	102551340
ZNF112	"Zinc finger protein 112 "	-	7771	57745	499095
ZNF114	"Zinc finger protein 114"	MGC17986	163071		
ZNF117	"Zinc finger protein 117 "	"HPF9 H-plk"	51351		
ZNF12	"Zinc finger protein 12 "	"KOX3 GIOT-3"	7559	57782	288489
ZNF121	"Zinc finger protein 121 "	"ZHC32 ZNF20"	7675		
ZNF124	"Zinc finger protein 124 "	"HZF16 HZF-16"	7678		
ZNF131	"Zinc finger protein 131"	"ZBTB35 pHZ-10"	7690	72465	310375
ZNF132	"Zinc finger protein 132"	pHZ-12	7691	232854	292548
ZNF133	"Zinc finger protein 133 "	"pHZ-13 pHZ-66"	7692		499900
ZNF134	"Zinc finger protein 134"	pHZ-15	7693		
ZNF135	"Zinc finger protein 135 "	pHZ-17	7694		
ZNF136	"Zinc finger protein 136"	pHZ-20	7695		
ZNF137P	"Putative zinc finger protein 137 "	pHZ-30	7696		
ZNF138	"Zinc finger protein 138"	pHZ-32	7697		
ZNF14	"Zinc finger protein 14 "	"KOX6 GIOT-4"	7561	619310	
ZNF140	"Zinc finger protein 140"	pHZ-39	7699		
ZNF141	"Zinc finger protein 141"	pHZ-44	7700		
ZNF142	"Zinc finger protein 142"	"KIAA0236 pHZ-49"	7701	77264	316524
ZNF143	"Zinc finger protein 143 "	"SBF pHZ-1 STAF"	7702	20841	361627
ZNF146	"Zinc finger protein OZF "	OZF	7705	26465	
ZNF148	"Zinc finger protein 148 "	"BERF-1 ZBP-89 BFCOL1 HT-BETA ZFP148 pHZ-52"	7707	22661	58820
ZNF154	"Zinc finger protein 154"	pHZ-92	7710		
ZNF155	"Zinc finger protein 155"	pHZ-96	7711		
ZNF157	"Zinc finger protein 157 "	HZF22	7712		
ZNF16	"Zinc finger protein 16 "	KOX9	7564		
ZNF160	"Zinc finger protein 160 "	"HZF5 F11 KR18 HKr18 FLJ00032 KIAA1611"	90338	224585	100365363
ZNF165	"Zinc finger protein 165 "	"ZSCAN7 CT53"	7718		
ZNF169	"Zinc finger protein 169"	MGC51961	169841	67911	306816
ZNF17	"Zinc finger protein 17 "	"HPF3 KOX10 KIAA1947 FLJ40864 FLJ46058 FLJ46615"	7565	232854	292548
ZNF174	"Zinc finger protein 174 "	ZSCAN8	7727	385674	102551846
ZNF175	"Zinc finger protein 175 "	OTK18	7728	210105	102556967
ZNF177	"Zinc finger protein 177"	-	7730		
ZNF18	"Zinc finger protein 18 "	"ZKSCAN6 KOX11 HDSG1 Zfp535 ZNF535 ZSCAN38"	7566	52712	303226
ZNF180	"Zinc finger protein 180 "	HHZ168	7733	210135	246279
ZNF181	"Zinc finger protein 181 "	"HHZ181 MGC44316"	339318		
ZNF182	"Zinc finger protein 182 "	"KOX14 HHZ150 Zfp182"	7569	319535	100911831
